,STATION,DATE,TEMP,MAX,MIN,CELSIUS
1461,RP000098755,2017-01-01,80.06,84.20,75.20,26.70
1462,RP000098755,2017-01-02,80.78,85.64,75.92,27.10
1464,RP000098755,2017-01-04,80.60,86.36,75.38,27.00
1468,RP000098755,2017-01-08,77.18,81.86,73.40,25.10
1469,RP000098755,2017-01-09,80.60,85.64,74.12,27.00
1470,RP000098755,2017-01-10,80.96,87.44,75.92,27.20
1472,RP000098755,2017-01-12,78.26,85.28,75.02,25.70
1473,RP000098755,2017-01-13,81.68,90.68,74.48,27.60
1474,RP000098755,2017-01-14,81.68,88.34,75.56,27.60
1475,RP000098755,2017-01-15,82.04,90.14,76.28,27.80
1477,RP000098755,2017-01-17,80.06,83.30,74.30,26.70
1478,RP000098755,2017-01-18,80.24,84.02,76.82,26.80
1480,RP000098755,2017-01-20,77.72,83.48,71.60,25.40
1481,RP000098755,2017-01-21,78.98,84.56,74.66,26.10
1482,RP000098755,2017-01-22,80.42,84.92,74.12,26.90
1489,RP000098755,2017-01-29,80.24,86.00,74.30,26.80
1493,RP000098755,2017-02-02,78.62,84.92,73.40,25.90
1494,RP000098755,2017-02-03,78.08,82.58,75.20,25.60
1496,RP000098755,2017-02-05,79.34,87.26,73.58,26.30
1497,RP000098755,2017-02-06,80.78,89.06,75.20,27.10
1499,RP000098755,2017-02-08,80.42,88.88,73.58,26.90
1501,RP000098755,2017-02-10,75.92,80.96,72.50,24.40
1502,RP000098755,2017-02-11,76.28,82.76,72.32,24.60
1503,RP000098755,2017-02-12,74.48,80.96,71.60,23.60
1504,RP000098755,2017-02-13,75.92,80.24,70.34,24.40
1505,RP000098755,2017-02-14,76.82,82.04,70.52,24.90
1506,RP000098755,2017-02-15,76.82,79.52,73.76,24.90
1508,RP000098755,2017-02-17,74.84,79.34,70.70,23.80
1509,RP000098755,2017-02-18,76.82,86.00,71.60,24.90
1512,RP000098755,2017-02-21,78.80,84.02,73.22,26.00
1513,RP000098755,2017-02-22,80.78,85.10,73.40,27.10
1515,RP000098755,2017-02-24,79.16,84.92,74.30,26.20
1516,RP000098755,2017-02-25,80.06,85.10,72.86,26.70
1517,RP000098755,2017-02-26,79.52,86.00,74.66,26.40
1518,RP000098755,2017-02-27,78.26,85.64,74.12,25.70
1519,RP000098755,2017-02-28,80.24,86.00,74.66,26.80
1521,RP000098755,2017-03-02,76.46,81.50,73.40,24.70
1522,RP000098755,2017-03-03,77.18,82.76,73.40,25.10
1523,RP000098755,2017-03-04,80.24,85.46,74.30,26.80
1524,RP000098755,2017-03-05,76.64,80.24,74.12,24.80
1526,RP000098755,2017-03-07,79.34,84.20,73.40,26.30
1528,RP000098755,2017-03-09,76.82,80.96,73.76,24.90
1529,RP000098755,2017-03-10,79.70,88.16,74.30,26.50
1530,RP000098755,2017-03-11,80.42,89.60,74.12,26.90
