,STATION,DATE,TEMP,MAX,MIN,CELSIUS
2,RPM00098646,2017-01-03,82.40,88.52,76.64,28.00
4,RPM00098646,2017-01-05,81.32,88.52,77.00,27.40
6,RPM00098646,2017-01-07,79.88,84.56,76.10,26.60
7,RPM00098646,2017-01-08,77.90,79.16,76.28,25.50
8,RPM00098646,2017-01-09,78.98,83.30,75.92,26.10
12,RPM00098646,2017-01-13,78.44,86.00,74.48,25.80
13,RPM00098646,2017-01-14,78.08,80.60,75.56,25.60
14,RPM00098646,2017-01-15,80.60,86.00,76.46,27.00
16,RPM00098646,2017-01-17,77.54,80.78,74.66,25.30
17,RPM00098646,2017-01-18,78.62,84.20,74.48,25.90
19,RPM00098646,2017-01-20,80.78,86.36,74.66,27.10
20,RPM00098646,2017-01-21,80.42,86.36,76.10,26.90
23,RPM00098646,2017-01-24,81.14,86.36,75.92,27.30
26,RPM00098646,2017-01-27,80.42,86.90,75.02,26.90
28,RPM00098646,2017-01-29,80.96,86.90,75.20,27.20
29,RPM00098646,2017-01-30,81.86,88.88,76.28,27.70
32,RPM00098646,2017-02-02,81.68,89.60,76.28,27.60
34,RPM00098646,2017-02-04,79.88,85.10,75.02,26.60
35,RPM00098646,2017-02-05,81.14,86.90,75.20,27.30
41,RPM00098646,2017-02-11,79.70,86.36,74.48,26.50
43,RPM00098646,2017-02-13,78.98,84.92,73.40,26.10
44,RPM00098646,2017-02-14,79.16,85.28,73.76,26.20
47,RPM00098646,2017-02-17,80.06,85.64,73.22,26.70
48,RPM00098646,2017-02-18,80.78,87.08,76.64,27.10
52,RPM00098646,2017-02-22,80.06,85.82,75.92,26.70
55,RPM00098646,2017-02-25,80.96,88.16,73.40,27.20
59,RPM00098646,2017-03-01,81.50,87.80,75.20,27.50
60,RPM00098646,2017-03-02,81.68,88.70,76.82,27.60
62,RPM00098646,2017-03-04,81.32,88.70,75.56,27.40
64,RPM00098646,2017-03-06,80.06,84.20,77.00,26.70
67,RPM00098646,2017-03-09,78.62,82.40,73.76,25.90
68,RPM00098646,2017-03-10,81.50,87.80,74.48,27.50
69,RPM00098646,2017-03-11,79.34,84.20,76.64,26.30
71,RPM00098646,2017-03-13,80.78,86.36,75.92,27.10
75,RPM00098646,2017-03-17,81.32,87.80,74.48,27.40
77,RPM00098646,2017-03-19,81.68,87.80,73.94,27.60
81,RPM00098646,2017-03-23,82.94,90.32,75.20,28.30
84,RPM00098646,2017-03-26,83.48,90.68,77.18,28.60
85,RPM00098646,2017-03-27,82.76,88.70,78.44,28.20
87,RPM00098646,2017-03-29,82.22,88.16,75.92,27.90
89,RPM00098646,2017-03-31,78.08,81.50,75.92,25.60
93,RPM00098646,2017-04-04,76.46,77.54,74.84,24.70
95,RPM00098646,2017-04-06,80.24,84.56,76.28,26.80
97,RPM00098646,2017-04-08,82.58,88.70,77.00,28.10
100,RPM00098646,2017-04-11,83.12,89.96,74.84,28.40
102,RPM00098646,2017-04-13,84.38,91.04,78.08,29.10
103,RPM00098646,2017-04-14,84.02,90.50,79.16,28.90
107,RPM00098646,2017-04-18,82.58,90.14,75.74,28.10
108,RPM00098646,2017-04-19,83.48,89.60,75.56,28.60
109,RPM00098646,2017-04-20,83.84,89.96,77.00,28.80
112,RPM00098646,2017-04-23,84.02,91.04,78.44,28.90
113,RPM00098646,2017-04-24,84.38,90.32,78.08,29.10
114,RPM00098646,2017-04-25,83.84,89.60,77.72,28.80
117,RPM00098646,2017-04-28,83.12,89.60,75.92,28.40
118,RPM00098646,2017-04-29,84.20,91.58,76.46,29.00
119,RPM00098646,2017-04-30,84.38,91.94,78.44,29.10
120,RPM00098646,2017-05-01,85.10,92.30,78.08,29.50
121,RPM00098646,2017-05-02,86.00,94.10,79.16,30.00
123,RPM00098646,2017-05-04,84.92,90.32,74.30,29.40
124,RPM00098646,2017-05-05,85.46,90.68,79.88,29.70
125,RPM00098646,2017-05-06,85.46,89.78,80.60,29.70
127,RPM00098646,2017-05-08,84.20,89.42,77.00,29.00
129,RPM00098646,2017-05-10,83.48,89.60,77.00,28.60
130,RPM00098646,2017-05-11,82.76,87.80,78.80,28.20
132,RPM00098646,2017-05-13,82.76,88.34,78.26,28.20
133,RPM00098646,2017-05-14,84.74,89.96,79.52,29.30
137,RPM00098646,2017-05-18,85.10,91.94,77.72,29.50
138,RPM00098646,2017-05-19,86.00,92.66,79.70,30.00
140,RPM00098646,2017-05-21,85.46,93.20,76.82,29.70
142,RPM00098646,2017-05-23,83.66,92.12,78.80,28.70
144,RPM00098646,2017-05-25,83.66,91.40,78.80,28.70
145,RPM00098646,2017-05-26,84.20,92.30,79.16,29.00
146,RPM00098646,2017-05-27,85.46,91.58,79.52,29.70
152,RPM00098646,2017-06-02,86.00,93.56,78.80,30.00
159,RPM00098646,2017-06-09,80.78,85.28,75.02,27.10
160,RPM00098646,2017-06-10,83.48,90.50,78.08,28.60
161,RPM00098646,2017-06-11,84.92,92.30,78.44,29.40
162,RPM00098646,2017-06-12,83.12,90.50,78.08,28.40
163,RPM00098646,2017-06-13,84.74,91.76,78.44,29.30
168,RPM00098646,2017-06-18,84.20,90.32,75.38,29.00
169,RPM00098646,2017-06-19,84.56,90.50,77.00,29.20
170,RPM00098646,2017-06-20,83.48,91.04,77.72,28.60
